"trait1","trait2","trait3","trait4"
0.0022093,0.00094526,0.14438,0.0025876
0.0027711,0.0011869,0.18141,0.0032463
0.0022624,0.00096861,0.14786,0.0026498
0.0026061,0.0011158,0.17021,0.0030524
0.0029721,0.001272,0.19407,0.0034817
0.0024859,0.0010652,0.1626,0.0029119
0.0023284,0.00099697,0.15216,0.0027275
0.0023596,0.0010101,0.15436,0.002764
0.0023461,0.0010043,0.15348,0.0027481
0.0023664,0.0010131,0.15481,0.0027719
0.0039808,0.0017024,0.26035,0.0046625
0.0029972,0.0012838,0.19583,0.0035109
0.005539,0.0023706,0.36269,0.0064886
0.003606,0.0015427,0.23586,0.0042238
0.002112,0.00090439,0.13824,0.0024739
0.002605,0.0011155,0.17004,0.003051
0.002577,0.0011034,0.16824,0.0030183
0.0021865,0.00093612,0.14288,0.0025609
0.0024006,0.0010279,0.15676,0.0028117
0.0020435,0.00087487,0.13357,0.0023936
0.0024058,0.0010301,0.1571,0.0028178
0.0024071,0.0010307,0.15721,0.0028193
0.0020522,0.00087875,0.13418,0.0024038
0.0021537,0.00092229,0.14068,0.0025226
0.0021186,0.00090716,0.13841,0.0024815
0.002136,0.00091468,0.13956,0.0025018
0.006764,0.0028961,0.44229,0.0079253
0.032196,0.013861,2.1006,0.037732
0.0038266,0.001637,0.24995,0.0044822
0.0039392,0.0016864,0.25761,0.0046145
0.0020893,0.00089451,0.13652,0.0024471
0.0039622,0.0016963,0.25912,0.0046414
0.0060608,0.0025948,0.39773,0.0070992
0.0020444,0.00087541,0.13364,0.0023947
0.0022235,0.00095204,0.14537,0.0026044
0.0054173,0.0023186,0.3546,0.0063451
0.0021434,0.00091806,0.14014,0.0025106
0.0022652,0.00097033,0.14808,0.0026532
0.0021494,0.0009206,0.14051,0.0025177
0.0021517,0.00092156,0.14067,0.0025204
0.0021736,0.00093087,0.14209,0.0025458
0.0022221,0.00095105,0.14524,0.0026026
0.0022214,0.00095101,0.14532,0.0026021
0.0022231,0.00095162,0.14527,0.002604
0.0023913,0.0010241,0.15636,0.0028011
0.0022928,0.00098178,0.14981,0.0026857
0.0020962,0.00089748,0.137,0.0024554
0.0021578,0.00092424,0.14103,0.0025275
0.0022393,0.00095886,0.14633,0.0026227
0.0021511,0.0009214,0.14058,0.0025196
0.0025836,0.0011069,0.16882,0.003026
0.0024791,0.0010614,0.16194,0.0029037
0.0048481,0.0020716,0.31617,0.0056781
0.0021301,0.00091199,0.13923,0.0024949
0.0024948,0.0010684,0.16304,0.0029225
0.0024877,0.0010658,0.16267,0.0029141
0.019143,0.0082103,1.2509,0.022429
0.0023244,0.00099517,0.15198,0.0027229
0.0023422,0.0010027,0.15317,0.0027437
0.0021018,0.00089998,0.13747,0.0024619
0.0022534,0.0009647,0.14734,0.0026396
0.0022508,0.00096374,0.14707,0.0026363
0.0020555,0.0008799,0.13426,0.0024077
0.0025998,0.0011131,0.16994,0.0030456
0.0041617,0.0017824,0.27168,0.0048748
0.0022873,0.00097881,0.14955,0.002679
0.0021752,0.00093111,0.142,0.0025479
0.0024832,0.0010627,0.16237,0.0029084
0.0028216,0.0012078,0.18467,0.0033051
0.0022779,0.0009752,0.14894,0.0026681
0.002261,0.00096775,0.14781,0.0026482
0.0027568,0.0011808,0.18008,0.0032289
0.0043688,0.0018735,0.28561,0.0051182
0.0048822,0.0020914,0.31884,0.0057176
0.0020584,0.00088137,0.13442,0.002411
0.0025231,0.0010796,0.16494,0.0029552
0.0029684,0.0012727,0.19394,0.0034772
0.0022056,0.00094428,0.14428,0.0025836
0.0020689,0.00088621,0.13522,0.0024233
0.0029818,0.0012772,0.19529,0.0034927
0.0020789,0.00089007,0.13583,0.0024351
0.0021865,0.0009359,0.1429,0.002561
0.002073,0.00088751,0.13545,0.0024282
0.0024518,0.0010498,0.16042,0.0028721
0.0050609,0.0021655,0.33142,0.0059281
0.0020448,0.00087548,0.1336,0.0023951
0.002045,0.00087556,0.13362,0.0023953
0.0024676,0.0010562,0.16132,0.0028903
0.0028266,0.0012091,0.18472,0.0033106
0.0026074,0.0011168,0.1704,0.0030542
0.0027971,0.0011978,0.18283,0.0032762
0.0027594,0.001182,0.18049,0.0032322
0.0022453,0.00096112,0.14683,0.0026298
0.0075914,0.00325,0.49634,0.0088917
0.002048,0.00087706,0.13396,0.0023989
0.0021663,0.00092744,0.14166,0.0025374
0.0021034,0.00090065,0.13747,0.0024638
0.0028351,0.0012134,0.18533,0.0033203
0.0041625,0.0017828,0.27171,0.0048748
0.0021149,0.00090524,0.13827,0.0024771
0.0025922,0.0011097,0.16957,0.0030363
0.0027858,0.001193,0.18216,0.0032631
0.0023036,0.00098654,0.15058,0.0026982
0.0021642,0.00092659,0.14148,0.0025348
0.0031631,0.0013549,0.20678,0.0037054
0.003169,0.0013574,0.20719,0.0037123
0.0041541,0.0017792,0.27183,0.0048656
0.0020942,0.00089633,0.13688,0.0024528
0.0020592,0.00088121,0.13453,0.0024118
0.0021081,0.00090232,0.13774,0.0024691
0.0022276,0.00095367,0.14556,0.002609
0.0035562,0.0015221,0.23252,0.004165
0.0035491,0.001519,0.23208,0.0041567
0.014329,0.0061172,0.93734,0.01678
0.0022887,0.00097971,0.14967,0.0026807
0.0024434,0.001046,0.15978,0.0028619
0.0035524,0.0015203,0.2323,0.0041606
0.0023049,0.0009867,0.15072,0.0026995
0.0022056,0.00094431,0.14417,0.0025834
0.0044616,0.0019106,0.29252,0.0052254
0.0024239,0.0010374,0.15857,0.0028391
0.0021559,0.00092279,0.14084,0.0025252
